dataset,format,bpw,mse,psnr,encode_us,decode_us,encode_std,decode_std
real,QG_3_K_H,3.4375,0.000868864,30.6105,10340.1,386.8,691.124,75.8322
real,Q3_K_H,3,0.00219457,26.5865,2651,210.8,20.4537,2.00286
real,Q3_K_M,3,0.00219457,26.5865,2641.8,218.6,100.6,72.397
real,Q3_K_L,3,0.00219457,26.5865,2629.1,210.9,58.929,80.9069
real,Q3,3,0.00219457,26.5865,2612.8,211.7,93.5636,3.49986
real,QG2,2.625,0.00322506,24.9146,9768.3,236.7,581.4,4.93722
real,Q2.5,2.5,0.00343122,24.6455,12101.8,178.2,915.461,93.2139
real,QG_2.5,2.5,0.00343122,24.6455,11701.6,234.4,1157.1,89.1511
real,QG_2_K_M,2.4375,0.00343122,24.6455,12427.9,178.2,1391.06,88.4756
real,QG_2_K_H,2.4375,0.00343122,24.6455,11794.6,179.3,349.068,69.8356
real,QG_2_K_L,2.4375,0.00343122,24.6455,11589.4,177,677.056,69.591
real,Q2,2,0.00837242,20.7715,2018.2,224.5,98.6239,1.77844
real,Q2_K_H,2,0.00837242,20.7715,2076.7,228.8,40.3289,40.0738
real,Q2_K_M,2,0.00837242,20.7715,2034.5,226.7,305.101,32.647
real,Q2_K_L,2,0.00837242,20.7715,2095.3,227.5,59,2.99134
real,[ref] BitNet b1.58,1.58,0.0171122,17.6669,334.8,334.8,0,0
real,Q1.5,1.5,0.0142511,18.4615,10301.4,250.1,505.984,27.1112
real,QG_1.5,1.5,0.0142511,18.4615,11273.8,393,665.492,67.5439
real,QG_1_K_H,1,0.0201688,16.9532,2137.8,206.9,56.7336,38.8214
real,QG_1_K_M,1,0.0201688,16.9532,2166,205,38.7838,31.7442
real,QG_1_K_L,1,0.0201688,16.9532,2203.1,272.9,128.279,53.7988
real,Q1_K_H,1,0.0201688,16.9532,2124.4,202.2,33.1692,7.52921
real,Q1_K_M,1,0.0201688,16.9532,2143.2,204.5,708.148,7.49196
real,Q1_K_L,1,0.0201688,16.9532,2198,210.4,198.239,7.74637
real,QG1,1,0.0201688,16.9532,2143.1,217.4,519.017,39.0459
real,Q1,1,0.0215652,16.6625,327.9,187.3,1.47083,0.754352
real,[ref] Binary 1-bit,1,0.0894116,10.4861,24,24,0,0
